2024-03-12 02:57:18 startup archives unpack
2024-03-12 02:57:18 install perl-modules-5.36:all <none> 5.36.0-7+deb12u1
2024-03-12 02:57:18 status half-installed perl-modules-5.36:all 5.36.0-7+deb12u1
2024-03-12 02:57:18 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2024-03-12 02:57:18 install libgdbm6:amd64 <none> 1.23-3
2024-03-12 02:57:18 status triggers-pending libc-bin:amd64 2.36-9+deb12u4
2024-03-12 02:57:18 status half-installed libgdbm6:amd64 1.23-3
2024-03-12 02:57:18 status unpacked libgdbm6:amd64 1.23-3
2024-03-12 02:57:18 install libgdbm-compat4:amd64 <none> 1.23-3
2024-03-12 02:57:18 status half-installed libgdbm-compat4:amd64 1.23-3
2024-03-12 02:57:18 status unpacked libgdbm-compat4:amd64 1.23-3
2024-03-12 02:57:18 install libperl5.36:amd64 <none> 5.36.0-7+deb12u1
2024-03-12 02:57:18 status half-installed libperl5.36:amd64 5.36.0-7+deb12u1
2024-03-12 02:57:18 status unpacked libperl5.36:amd64 5.36.0-7+deb12u1
2024-03-12 02:57:18 install perl:amd64 <none> 5.36.0-7+deb12u1
2024-03-12 02:57:18 status half-installed perl:amd64 5.36.0-7+deb12u1
2024-03-12 02:57:18 status unpacked perl:amd64 5.36.0-7+deb12u1
2024-03-12 02:57:18 install bzip2:amd64 <none> 1.0.8-5+b1
2024-03-12 02:57:18 status half-installed bzip2:amd64 1.0.8-5+b1
2024-03-12 02:57:18 status unpacked bzip2:amd64 1.0.8-5+b1
2024-03-12 02:57:18 install libssl3:amd64 <none> 3.0.11-1~deb12u2
2024-03-12 02:57:18 status half-installed libssl3:amd64 3.0.11-1~deb12u2
2024-03-12 02:57:19 status unpacked libssl3:amd64 3.0.11-1~deb12u2
2024-03-12 02:57:19 install openssl:amd64 <none> 3.0.11-1~deb12u2
2024-03-12 02:57:19 status half-installed openssl:amd64 3.0.11-1~deb12u2
2024-03-12 02:57:19 status unpacked openssl:amd64 3.0.11-1~deb12u2
2024-03-12 02:57:19 install ca-certificates:all <none> 20230311
2024-03-12 02:57:19 status half-installed ca-certificates:all 20230311
2024-03-12 02:57:19 status unpacked ca-certificates:all 20230311
2024-03-12 02:57:19 install libmagic-mgc:amd64 <none> 1:5.44-3
2024-03-12 02:57:19 status half-installed libmagic-mgc:amd64 1:5.44-3
2024-03-12 02:57:19 status unpacked libmagic-mgc:amd64 1:5.44-3
2024-03-12 02:57:19 install libmagic1:amd64 <none> 1:5.44-3
2024-03-12 02:57:19 status half-installed libmagic1:amd64 1:5.44-3
2024-03-12 02:57:19 status unpacked libmagic1:amd64 1:5.44-3
2024-03-12 02:57:19 install file:amd64 <none> 1:5.44-3
2024-03-12 02:57:19 status half-installed file:amd64 1:5.44-3
2024-03-12 02:57:19 status unpacked file:amd64 1:5.44-3
2024-03-12 02:57:19 install xz-utils:amd64 <none> 5.4.1-0.2
2024-03-12 02:57:19 status half-installed xz-utils:amd64 5.4.1-0.2
2024-03-12 02:57:19 status unpacked xz-utils:amd64 5.4.1-0.2
2024-03-12 02:57:19 install m4:amd64 <none> 1.4.19-3
2024-03-12 02:57:19 status half-installed m4:amd64 1.4.19-3
2024-03-12 02:57:19 status unpacked m4:amd64 1.4.19-3
2024-03-12 02:57:19 install autoconf:all <none> 2.71-3
2024-03-12 02:57:19 status half-installed autoconf:all 2.71-3
2024-03-12 02:57:19 status unpacked autoconf:all 2.71-3
2024-03-12 02:57:19 install binutils-common:amd64 <none> 2.40-2
2024-03-12 02:57:19 status half-installed binutils-common:amd64 2.40-2
2024-03-12 02:57:19 status unpacked binutils-common:amd64 2.40-2
2024-03-12 02:57:19 install libbinutils:amd64 <none> 2.40-2
2024-03-12 02:57:19 status half-installed libbinutils:amd64 2.40-2
2024-03-12 02:57:19 status unpacked libbinutils:amd64 2.40-2
2024-03-12 02:57:19 install libctf-nobfd0:amd64 <none> 2.40-2
2024-03-12 02:57:19 status half-installed libctf-nobfd0:amd64 2.40-2
2024-03-12 02:57:19 status unpacked libctf-nobfd0:amd64 2.40-2
2024-03-12 02:57:19 install libctf0:amd64 <none> 2.40-2
2024-03-12 02:57:19 status half-installed libctf0:amd64 2.40-2
2024-03-12 02:57:20 status unpacked libctf0:amd64 2.40-2
2024-03-12 02:57:20 install libgprofng0:amd64 <none> 2.40-2
2024-03-12 02:57:20 status half-installed libgprofng0:amd64 2.40-2
2024-03-12 02:57:20 status unpacked libgprofng0:amd64 2.40-2
2024-03-12 02:57:20 install libjansson4:amd64 <none> 2.14-2
2024-03-12 02:57:20 status half-installed libjansson4:amd64 2.14-2
2024-03-12 02:57:20 status unpacked libjansson4:amd64 2.14-2
2024-03-12 02:57:20 install binutils-x86-64-linux-gnu:amd64 <none> 2.40-2
2024-03-12 02:57:20 status half-installed binutils-x86-64-linux-gnu:amd64 2.40-2
2024-03-12 02:57:20 status unpacked binutils-x86-64-linux-gnu:amd64 2.40-2
2024-03-12 02:57:20 install binutils:amd64 <none> 2.40-2
2024-03-12 02:57:20 status half-installed binutils:amd64 2.40-2
2024-03-12 02:57:20 status unpacked binutils:amd64 2.40-2
2024-03-12 02:57:20 install libisl23:amd64 <none> 0.25-1.1
2024-03-12 02:57:20 status half-installed libisl23:amd64 0.25-1.1
2024-03-12 02:57:20 status unpacked libisl23:amd64 0.25-1.1
2024-03-12 02:57:20 install libmpfr6:amd64 <none> 4.2.0-1
2024-03-12 02:57:20 status half-installed libmpfr6:amd64 4.2.0-1
2024-03-12 02:57:20 status unpacked libmpfr6:amd64 4.2.0-1
2024-03-12 02:57:20 install libmpc3:amd64 <none> 1.3.1-1
2024-03-12 02:57:20 status half-installed libmpc3:amd64 1.3.1-1
2024-03-12 02:57:20 status unpacked libmpc3:amd64 1.3.1-1
2024-03-12 02:57:20 install cpp-12:amd64 <none> 12.2.0-14
2024-03-12 02:57:20 status half-installed cpp-12:amd64 12.2.0-14
2024-03-12 02:57:21 status unpacked cpp-12:amd64 12.2.0-14
2024-03-12 02:57:21 install cpp:amd64 <none> 4:12.2.0-3
2024-03-12 02:57:21 status half-installed cpp:amd64 4:12.2.0-3
2024-03-12 02:57:21 status unpacked cpp:amd64 4:12.2.0-3
